55507 < Verbonden: 55506
55501 < Verbonden: 55502
55506 < Verbonden: 55507
55502 < Afstand naar 55501 is nu 1 via 55501
55504 < Afstand naar 55501 is nu 2 via 55502
55504 < Verbonden: 55503
55507 < Afstand naar 55506 is nu 1 via 55506
55501 < Afstand naar 55500 is nu 1 via 55500
55502 < Afstand naar 55500 is nu 2 via 55501
55501 < Afstand naar 55500 is nu 1 via 55500
55502 < Afstand naar 55500 is nu 2 via 55501
55506 < Verbonden: 55504
55501 < Afstand naar 55502 is nu 1 via 55502
55502 < Afstand naar 55501 is nu 1 via 55501
55504 < Afstand naar 55500 is nu 3 via 55502
55504 < Afstand naar 55500 is nu 3 via 55502
55504 < Afstand naar 55501 is nu 2 via 55502
55503 < Verbonden: 55504
55504 < Afstand naar 55503 is nu 1 via 55503
55503 < Afstand naar 55500 is nu 4 via 55504
55503 < Afstand naar 55500 is nu 4 via 55504
55503 < Afstand naar 55501 is nu 3 via 55504
55502 < Afstand naar 55503 is nu 2 via 55504
55503 < Afstand naar 55504 is nu 1 via 55504
55504 < Afstand naar 55503 is nu 1 via 55503
55502 < Afstand naar 55503 is nu 2 via 55504
55506 < Afstand naar 55504 is nu 1 via 55504
55507 < Afstand naar 55504 is nu 2 via 55506
55505 < Afstand naar 55504 is nu 2 via 55506
55506 < Afstand naar 55504 is nu 1 via 55504
55505 < Afstand naar 55504 is nu 2 via 55506
55506 < Afstand naar 55502 is nu 2 via 55504
55507 < Afstand naar 55504 is nu 2 via 55506
55507 < Afstand naar 55502 is nu 3 via 55506
55505 < Afstand naar 55502 is nu 3 via 55506
55506 < Afstand naar 55502 is nu 2 via 55504
55507 < Afstand naar 55502 is nu 3 via 55506
55505 < Afstand naar 55502 is nu 3 via 55506
55506 < Afstand naar 55501 is nu 3 via 55504
55507 < Afstand naar 55501 is nu 4 via 55506
55505 < Afstand naar 55501 is nu 4 via 55506
55506 < Afstand naar 55500 is nu 4 via 55504
55507 < Afstand naar 55500 is nu 5 via 55506
55505 < Afstand naar 55500 is nu 5 via 55506
55506 < Afstand naar 55500 is nu 4 via 55504
55507 < Afstand naar 55500 is nu 5 via 55506
55505 < Afstand naar 55500 is nu 5 via 55506
55506 < Afstand naar 55501 is nu 3 via 55504
55507 < Afstand naar 55501 is nu 4 via 55506
55505 < Afstand naar 55501 is nu 4 via 55506
55506 < Afstand naar 55503 is nu 2 via 55504
55507 < Afstand naar 55503 is nu 3 via 55506
55505 < Afstand naar 55503 is nu 3 via 55506
55506 < Afstand naar 55503 is nu 2 via 55504
55507 < Afstand naar 55503 is nu 3 via 55506
55505 < Afstand naar 55503 is nu 3 via 55506
55506 < Afstand naar 55507 is nu 1 via 55507
55504 < Afstand naar 55507 is nu 2 via 55506
55505 < Afstand naar 55507 is nu 2 via 55506
55502 < Afstand naar 55507 is nu 3 via 55504
55507 < Afstand naar 55506 is nu 1 via 55506
55506 < Afstand naar 55505 is nu 1 via 55505
55507 < Afstand naar 55505 is nu 2 via 55506
55504 < Afstand naar 55505 is nu 2 via 55506
55502 < Afstand naar 55505 is nu 3 via 55504
55506 < Afstand naar 55505 is nu 1 via 55505
55507 < Afstand naar 55505 is nu 2 via 55506
55504 < Afstand naar 55505 is nu 2 via 55506
55502 < Afstand naar 55505 is nu 3 via 55504
55502 < Verbonden: 55500
55500 < Verbonden: 55502
55500 < Afstand naar 55502 is nu 1 via 55502
55502 < Afstand naar 55500 is nu 1 via 55500
55504 < Afstand naar 55500 is nu 2 via 55502
55506 < Afstand naar 55500 is nu 3 via 55504
55507 < Afstand naar 55500 is nu 4 via 55506
55505 < Afstand naar 55500 is nu 4 via 55506
55502 < Afstand naar 55500 is nu 1 via 55500
55504 < Afstand naar 55500 is nu 2 via 55502
55506 < Afstand naar 55500 is nu 3 via 55504
55507 < Afstand naar 55500 is nu 4 via 55506
55505 < Afstand naar 55500 is nu 4 via 55506
55504 < Verbonden: 55501
55501 < Verbonden: 55504
55504 < Afstand naar 55501 is nu 1 via 55501
55506 < Afstand naar 55501 is nu 2 via 55504
55504 < Afstand naar 55500 is nu 2 via 55501
55505 < Afstand naar 55501 is nu 3 via 55506
55507 < Afstand naar 55501 is nu 3 via 55506
55506 < Afstand naar 55500 is nu 3 via 55504
55507 < Afstand naar 55500 is nu 4 via 55506
55505 < Afstand naar 55500 is nu 4 via 55506
55501 < Afstand naar 55504 is nu 1 via 55504
55504 < Afstand naar 55501 is nu 1 via 55501
55506 < Afstand naar 55501 is nu 2 via 55504
55507 < Afstand naar 55501 is nu 3 via 55506
55505 < Afstand naar 55501 is nu 3 via 55506
55501 < Afstand naar 55503 is nu 3 via 55502
55501 < Afstand naar 55503 is nu 3 via 55502
55501 < Afstand naar 55507 is nu 4 via 55502
55501 < Afstand naar 55505 is nu 4 via 55502
55501 < Afstand naar 55505 is nu 4 via 55502
55505 < Verbonden: 55503
55503 < Verbonden: 55505
55503 < Afstand naar 55507 is nu 3 via 55504
55503 < Afstand naar 55505 is nu 1 via 55505
55504 < Afstand naar 55505 is nu 2 via 55503
55502 < Afstand naar 55505 is nu 3 via 55504
55505 < Afstand naar 55503 is nu 1 via 55503
55506 < Afstand naar 55503 is nu 2 via 55505
55507 < Afstand naar 55503 is nu 3 via 55506
55505 < Afstand naar 55504 is nu 2 via 55503
55505 < Afstand naar 55503 is nu 1 via 55503
55506 < Afstand naar 55503 is nu 2 via 55505
55507 < Afstand naar 55503 is nu 3 via 55506
55503 < Verbonden: 55500
55500 < Verbonden: 55503
55500 < Afstand naar 55504 is nu 2 via 55501
55502 < Afstand naar 55503 is nu 2 via 55500
55500 < Afstand naar 55503 is nu 4 via 55501
55500 < Afstand naar 55503 is nu 4 via 55501
55500 < Afstand naar 55507 is nu 5 via 55501
55500 < Afstand naar 55505 is nu 5 via 55501
55500 < Afstand naar 55505 is nu 5 via 55501
55500 < Afstand naar 55503 is nu 1 via 55503
55505 < Verbonden: 55501
55501 < Verbonden: 55505
55505 < Afstand naar 55501 is nu 1 via 55501
55506 < Afstand naar 55501 is nu 2 via 55505
55507 < Afstand naar 55501 is nu 3 via 55506
55505 < Afstand naar 55500 is nu 2 via 55501
55506 < Afstand naar 55500 is nu 3 via 55505
55505 < Afstand naar 55502 is nu 2 via 55501
55507 < Afstand naar 55500 is nu 4 via 55506
55505 < Afstand naar 55504 is nu 2 via 55501
55501 < Afstand naar 55505 is nu 4 via 55502
55501 < Afstand naar 55503 is nu 2 via 55500
55501 < Afstand naar 55505 is nu 3 via 55504
55501 < Afstand naar 55505 is nu 1 via 55505
55502 < Afstand naar 55505 is nu 2 via 55501
55504 < Afstand naar 55505 is nu 2 via 55501
55505 < Afstand naar 55501 is nu 1 via 55501
55506 < Afstand naar 55501 is nu 2 via 55505
55507 < Afstand naar 55501 is nu 3 via 55506
55506 < Verbonden: 55503
55503 < Verbonden: 55506
55506 < Afstand naar 55503 is nu 1 via 55503
55507 < Afstand naar 55503 is nu 2 via 55506
55503 < Afstand naar 55506 is nu 1 via 55506
55506 < Afstand naar 55503 is nu 1 via 55503
55507 < Afstand naar 55503 is nu 2 via 55506
55506 < Verbonden: 55500
55500 < Verbonden: 55506
55500 < Afstand naar 55506 is nu 2 via 55503
55500 < Afstand naar 55505 is nu 4 via 55501
55500 < Afstand naar 55505 is nu 2 via 55501
55500 < Afstand naar 55506 is nu 1 via 55506
55502 < Afstand naar 55506 is nu 2 via 55500
55506 < Afstand naar 55500 is nu 1 via 55500
55507 < Afstand naar 55500 is nu 2 via 55506
55505 < Afstand naar 55500 is nu 2 via 55506
55504 < Afstand naar 55500 is nu 2 via 55506
55506 < Afstand naar 55501 is nu 2 via 55500
55507 < Afstand naar 55501 is nu 3 via 55506
55506 < Afstand naar 55502 is nu 2 via 55500
55507 < Afstand naar 55502 is nu 3 via 55506
55506 < Afstand naar 55500 is nu 1 via 55500
55507 < Afstand naar 55500 is nu 2 via 55506
55505 < Afstand naar 55500 is nu 2 via 55506
55504 < Afstand naar 55500 is nu 2 via 55506
55506 < Verbonden: 55501
55501 < Verbonden: 55506
55506 < Afstand naar 55501 is nu 1 via 55501
55506 < Afstand naar 55502 is nu 2 via 55501
55507 < Afstand naar 55501 is nu 2 via 55506
55507 < Afstand naar 55502 is nu 3 via 55506
55501 < Afstand naar 55506 is nu 3 via 55500
55501 < Afstand naar 55506 is nu 2 via 55500
55501 < Afstand naar 55506 is nu 1 via 55506
55502 < Afstand naar 55506 is nu 2 via 55501
55506 < Afstand naar 55501 is nu 1 via 55501
55507 < Afstand naar 55501 is nu 2 via 55506
55503 < Verbonden: 55508
55508 < Verbonden: 55503
55503 < Afstand naar 55500 is nu 1 via 55500
55504 < Afstand naar 55500 is nu 2 via 55503
55505 < Afstand naar 55500 is nu 2 via 55503
55503 < Afstand naar 55501 is nu 2 via 55500
55503 < Afstand naar 55502 is nu 2 via 55500
55503 < Afstand naar 55500 is nu 1 via 55500
55504 < Afstand naar 55500 is nu 2 via 55503
55505 < Afstand naar 55500 is nu 2 via 55503
55503 < Afstand naar 55501 is nu 2 via 55506
55503 < Afstand naar 55501 is nu 2 via 55506
55503 < Afstand naar 55501 is nu 2 via 55504
55503 < Afstand naar 55501 is nu 2 via 55504
55503 < Afstand naar 55508 is nu 1 via 55508
55504 < Afstand naar 55508 is nu 2 via 55503
55506 < Afstand naar 55508 is nu 3 via 55504
55502 < Afstand naar 55508 is nu 3 via 55504
55501 < Afstand naar 55508 is nu 3 via 55504
55507 < Afstand naar 55508 is nu 4 via 55506
55505 < Afstand naar 55508 is nu 4 via 55506
55505 < Afstand naar 55508 is nu 4 via 55501
55505 < Afstand naar 55508 is nu 2 via 55503
55506 < Afstand naar 55508 is nu 3 via 55505
55501 < Afstand naar 55508 is nu 3 via 55505
55507 < Afstand naar 55508 is nu 4 via 55506
55506 < Afstand naar 55508 is nu 2 via 55503
55507 < Afstand naar 55508 is nu 3 via 55506
55501 < Afstand naar 55508 is nu 3 via 55506
55503 < Afstand naar 55501 is nu 2 via 55505
55503 < Afstand naar 55501 is nu 2 via 55505
55508 < Afstand naar 55503 is nu 1 via 55503
55508 < Afstand naar 55500 is nu 5 via 55503
55508 < Afstand naar 55501 is nu 4 via 55503
55508 < Afstand naar 55504 is nu 2 via 55503
55508 < Afstand naar 55507 is nu 4 via 55503
55508 < Afstand naar 55505 is nu 2 via 55503
55508 < Afstand naar 55506 is nu 2 via 55503
55508 < Afstand naar 55500 is nu 2 via 55503
55508 < Afstand naar 55501 is nu 3 via 55503
55508 < Afstand naar 55502 is nu 3 via 55503
55508 < Afstand naar 55500 is nu 2 via 55503
55508 < Afstand naar 55501 is nu 3 via 55503
55508 < Afstand naar 55501 is nu 3 via 55503
55508 < Afstand naar 55501 is nu 3 via 55503
55508 < Afstand naar 55501 is nu 3 via 55503
55508 < Afstand naar 55503 is nu 1 via 55503
55508 < Afstand naar 55501 is nu 3 via 55503
55508 < Afstand naar 55501 is nu 3 via 55503
55507 < Verbonden: 55500
55500 < Verbonden: 55507
55507 < Afstand naar 55500 is nu 1 via 55500
55507 < Afstand naar 55501 is nu 2 via 55500
55507 < Afstand naar 55502 is nu 2 via 55500
55507 < Afstand naar 55503 is nu 2 via 55500
55500 < Afstand naar 55508 is nu 2 via 55503
55501 < Afstand naar 55508 is nu 3 via 55500
55502 < Afstand naar 55508 is nu 3 via 55500
55507 < Afstand naar 55508 is nu 3 via 55500
55500 < Afstand naar 55507 is nu 1 via 55507
55501 < Afstand naar 55507 is nu 2 via 55500
55502 < Afstand naar 55507 is nu 3 via 55501
55502 < Afstand naar 55507 is nu 2 via 55500
55503 < Afstand naar 55507 is nu 2 via 55500
55508 < Afstand naar 55507 is nu 3 via 55503
55507 < Afstand naar 55500 is nu 1 via 55500
55500 > R
55501 > R
55502 > R
55503 > R
55504 > R
55505 > R
55506 > R
55501 < 55501 0 local
55502 < 55502 0 local
55503 < 55503 0 local
55500 < 55500 0 local
55502 < 55504 1 55504
55503 < 55500 1 55500
55500 < 55501 1 55501
55501 < 55500 1 55500
55507 > R
55502 < 55506 2 55501
55500 < 55502 1 55502
55503 < 55501 2 55505
55501 < 55502 1 55502
55508 > R
55502 < 55501 1 55501
55500 < 55504 2 55501
55503 < 55504 1 55504
55501 < 55504 1 55504
55502 < 55500 1 55500
55500 < 55503 1 55503
55503 < 55507 2 55500
55501 < 55503 2 55500
55502 < 55503 2 55500
55500 < 55507 1 55507
55503 < 55505 1 55505
55504 < 55504 0 local
55501 < 55507 2 55500
55500 < 55505 2 55501
55502 < 55507 2 55500
55503 < 55506 1 55506
55501 < 55505 1 55505
55500 < 55506 1 55506
55503 < 55502 2 55500
55502 < 55505 2 55501
55501 < 55506 1 55506
55503 < 55508 1 55508
55500 < 55508 2 55503
55502 < 55508 3 55500
55503 < //Buren:
55500 < //Buren:
55501 < 55508 3 55500
55503 < //55504
55500 < //55501
55502 < //Buren:
55503 < //55505
55500 < //55502
55502 < //55504
55503 < //55506
55500 < //55503
55502 < //55501
55503 < //55500
55500 < //55506
55502 < //55500
55503 < //55508
55500 < //55507
55505 < 55505 0 local
55505 < 55506 1 55506
55504 < 55506 1 55506
55505 < 55504 2 55501
55505 < 55502 2 55501
55504 < 55502 1 55502
55504 < 55501 1 55501
55505 < 55501 1 55501
55507 < 55507 0 local
55508 < 55508 0 local
55506 < 55506 0 local
55501 < //Buren:
55505 < 55500 2 55503
55507 < 55506 1 55506
55504 < 55500 2 55503
55508 < 55503 1 55503
55505 < 55503 1 55503
55506 < 55504 1 55504
55507 < 55504 2 55506
55504 < 55503 1 55503
55501 < //55502
55508 < 55500 2 55503
55505 < 55507 2 55506
55506 < 55502 2 55501
55507 < 55502 2 55500
55508 < 55501 3 55503
55504 < 55507 2 55506
55505 < 55508 2 55503
55506 < 55501 1 55501
55507 < 55501 2 55500
55505 < //Buren:
55508 < 55504 2 55503
55504 < 55505 2 55501
55505 < //55506
55507 < 55500 1 55500
55504 < 55508 2 55503
55506 < 55500 1 55500
55505 < //55503
55507 < 55503 2 55500
55501 < //55500
55504 < //Buren:
55507 < 55505 2 55506
55506 < 55503 1 55503
55504 < //55506
55506 < 55507 1 55507
55507 < 55508 3 55500
55504 < //55502
55507 < //Buren:
55506 < 55505 1 55505
55504 < //55503
55507 < //55506
55504 < //55501
55506 < 55508 2 55503
55507 < //55500
55501 < //55504
55505 < //55501
55506 < //Buren:
55501 < //55505
55508 < 55507 3 55503
55506 < //55507
55501 < //55506
55506 < //55505
55506 < //55504
55508 < 55505 2 55503
55506 < //55503
55506 < //55500
55508 < 55506 2 55503
55506 < //55501
55508 < 55502 3 55503
55508 < //Buren:
55508 < //55503

Process 55500:
Verbonden: 55501
Afstand naar 55501 is nu 1 via 55501
Verbonden: 55502
Afstand naar 55502 is nu 1 via 55502
Verbonden: 55503
Afstand naar 55504 is nu 2 via 55501
Afstand naar 55503 is nu 4 via 55501
